seed,model,after_task,task_id,task_name,acc,route_entropy,route_dominance
0,Mutualistic09_distill_only,0,0,0 vs 1,0.9845,0.06651569157838821,0.9795164205133915
0,Mutualistic09_distill_only,1,0,0 vs 1,0.984,0.07689296896569431,0.977185383439064
0,Mutualistic09_distill_only,1,1,2 vs 3,0.972,0.03375514328945428,0.991012442857027
0,Mutualistic09_distill_only,2,0,0 vs 1,0.986,0.06839347630739212,0.9784481935203075
0,Mutualistic09_distill_only,2,1,2 vs 3,0.973,0.03558771777898073,0.9901383779942989
0,Mutualistic09_distill_only,2,2,4 vs 5,1.0,0.010948249386274256,0.9961665943264961
0,Mutualistic09_distill_only,3,0,0 vs 1,0.9845,0.06961675896309316,0.9779078587889671
0,Mutualistic09_distill_only,3,1,2 vs 3,0.973,0.03771219099871814,0.9892362058162689
0,Mutualistic09_distill_only,3,2,4 vs 5,1.0,0.005138980093761347,0.998511478304863
0,Mutualistic09_distill_only,3,3,6 vs 7,1.0,0.001979440322429582,0.9994892962276936
0,Mutualistic09_distill_only,4,0,0 vs 1,0.986,0.06203500903211534,0.9796360656619072
0,Mutualistic09_distill_only,4,1,2 vs 3,0.972,0.03596036275848746,0.9890625774860382
0,Mutualistic09_distill_only,4,2,4 vs 5,0.9995,0.005282453394102049,0.9982945322990417
0,Mutualistic09_distill_only,4,3,6 vs 7,1.0,0.002548707510868553,0.9990574419498444
0,Mutualistic09_distill_only,4,4,8 vs 9,0.998,0.005216139121330343,0.9987756498157978
0,Mutualistic09_route_memory_only,0,0,0 vs 1,0.9845,0.06651569157838821,0.9795164205133915
0,Mutualistic09_route_memory_only,1,0,0 vs 1,0.874,0.07521586841903627,0.9757384955883026
0,Mutualistic09_route_memory_only,1,1,2 vs 3,0.972,0.09156685369089246,0.9688100889325142
0,Mutualistic09_route_memory_only,2,0,0 vs 1,0.767,0.051162105053663254,0.9823137447237968
0,Mutualistic09_route_memory_only,2,1,2 vs 3,0.6405,0.054796340642496943,0.9795273430645466
0,Mutualistic09_route_memory_only,2,2,4 vs 5,0.9995,0.020750668889377266,0.992042887955904
0,Mutualistic09_route_memory_only,3,0,0 vs 1,0.561,0.04391715186648071,0.9841229021549225
0,Mutualistic09_route_memory_only,3,1,2 vs 3,0.6125,0.05185751896351576,0.9804173558950424
0,Mutualistic09_route_memory_only,3,2,4 vs 5,0.9965,0.01540751442371402,0.9943782463669777
0,Mutualistic09_route_memory_only,3,3,6 vs 7,1.0,0.005785256333183497,0.9981075637042522
0,Mutualistic09_route_memory_only,4,0,0 vs 1,0.604,0.05380941659677774,0.9810727760195732
0,Mutualistic09_route_memory_only,4,1,2 vs 3,0.657,0.05275131156668067,0.9813828505575657
0,Mutualistic09_route_memory_only,4,2,4 vs 5,0.99,0.03629382804501802,0.986852690577507
0,Mutualistic09_route_memory_only,4,3,6 vs 7,0.978,0.01746939803706482,0.9949838817119598
0,Mutualistic09_route_memory_only,4,4,8 vs 9,0.9975,0.0033663366702967323,0.9990162961184978
0,Mutualistic09_latent_only,0,0,0 vs 1,0.9845,0.06651569157838821,0.9795164205133915
0,Mutualistic09_latent_only,1,0,0 vs 1,0.9845,0.03827792406082153,0.9916582182049751
0,Mutualistic09_latent_only,1,1,2 vs 3,0.963,0.14572764746844769,0.9512762241065502
0,Mutualistic09_latent_only,2,0,0 vs 1,0.982,0.01207450742367655,0.9974001832306385
0,Mutualistic09_latent_only,2,1,2 vs 3,0.963,0.0293784961104393,0.993112850934267
0,Mutualistic09_latent_only,2,2,4 vs 5,0.9995,0.032265891786664724,0.9888591095805168
0,Mutualistic09_latent_only,3,0,0 vs 1,0.983,0.5331754200160503,0.7884207293391228
0,Mutualistic09_latent_only,3,1,2 vs 3,0.963,0.04820697265677154,0.9903782270848751
