seed,model,task_id,task_name,best_acc,final_acc,per_task_forgetting
0,Mutualistic09_distill_only,0,0 vs 1,0.986,0.986,0.0
0,Mutualistic09_distill_only,1,2 vs 3,0.973,0.972,0.0010000000000000009
0,Mutualistic09_distill_only,2,4 vs 5,1.0,0.9995,0.0004999999999999449
0,Mutualistic09_distill_only,3,6 vs 7,1.0,1.0,0.0
0,Mutualistic09_distill_only,4,8 vs 9,0.998,0.998,0.0
0,Mutualistic09_full_functional_memory,0,0 vs 1,0.9875,0.986,0.0015000000000000568
0,Mutualistic09_full_functional_memory,1,2 vs 3,0.965,0.9635,0.0014999999999999458
0,Mutualistic09_full_functional_memory,2,4 vs 5,1.0,1.0,0.0
0,Mutualistic09_full_functional_memory,3,6 vs 7,1.0,0.9995,0.0004999999999999449
0,Mutualistic09_full_functional_memory,4,8 vs 9,0.998,0.998,0.0
0,Mutualistic09_latent_only,0,0 vs 1,0.9845,0.9825,0.0020000000000000018
0,Mutualistic09_latent_only,1,2 vs 3,0.966,0.966,0.0
0,Mutualistic09_latent_only,2,4 vs 5,1.0,1.0,0.0
0,Mutualistic09_latent_only,3,6 vs 7,1.0,0.9995,0.0004999999999999449
0,Mutualistic09_latent_only,4,8 vs 9,0.9975,0.9975,0.0
0,Mutualistic09_route_memory_only,0,0 vs 1,0.9845,0.604,0.38050000000000006
0,Mutualistic09_route_memory_only,1,2 vs 3,0.972,0.657,0.31499999999999995
0,Mutualistic09_route_memory_only,2,4 vs 5,0.9995,0.99,0.009500000000000064
0,Mutualistic09_route_memory_only,3,6 vs 7,1.0,0.978,0.02200000000000002
0,Mutualistic09_route_memory_only,4,8 vs 9,0.9975,0.9975,0.0
0,Mutualistic09_route_plus_latent,0,0 vs 1,0.9845,0.983,0.0015000000000000568
0,Mutualistic09_route_plus_latent,1,2 vs 3,0.971,0.959,0.01200000000000001
0,Mutualistic09_route_plus_latent,2,4 vs 5,1.0,1.0,0.0
0,Mutualistic09_route_plus_latent,3,6 vs 7,0.9995,0.9985,0.0010000000000000009
0,Mutualistic09_route_plus_latent,4,8 vs 9,0.9975,0.9975,0.0
1,Mutualistic09_distill_only,0,0 vs 1,0.9865,0.986,0.000500000000000056
1,Mutualistic09_distill_only,1,2 vs 3,0.967,0.967,0.0
1,Mutualistic09_distill_only,2,4 vs 5,1.0,0.999,0.0010000000000000009
1,Mutualistic09_distill_only,3,6 vs 7,1.0,1.0,0.0
1,Mutualistic09_distill_only,4,8 vs 9,0.998,0.998,0.0
1,Mutualistic09_full_functional_memory,0,0 vs 1,0.99,0.9895,0.0004999999999999449
1,Mutualistic09_full_functional_memory,1,2 vs 3,0.972,0.971,0.0010000000000000009
1,Mutualistic09_full_functional_memory,2,4 vs 5,1.0,1.0,0.0
1,Mutualistic09_full_functional_memory,3,6 vs 7,1.0,1.0,0.0
1,Mutualistic09_full_functional_memory,4,8 vs 9,0.998,0.998,0.0
1,Mutualistic09_latent_only,0,0 vs 1,0.9885,0.9885,0.0
1,Mutualistic09_latent_only,1,2 vs 3,0.97,0.969,0.0010000000000000009
